TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Dallas Mavericks,82.0,60.0,22.0,48.2,101.0,31.0,67.7,8.1,5.5,12.4,14.3,12.3,38.5
San Antonio Spurs,82.0,60.0,22.0,48.4,98.1,31.2,68.7,7.7,6.5,16.7,14.0,12.2,37.5
Sacramento Kings,82.0,59.0,23.0,48.4,97.8,33.5,67.8,9.0,5.6,15.6,14.6,12.4,38.2
Minnesota Timberwolves,82.0,51.0,31.0,48.3,102.5,31.9,69.5,6.7,5.3,15.0,13.8,11.7,38.2
Detroit Pistons,82.0,50.0,32.0,48.5,98.2,29.8,70.7,6.8,5.7,14.0,11.7,10.2,34.0
Los Angeles Lakers,82.0,50.0,32.0,48.6,103.4,31.1,69.3,7.8,5.7,15.9,13.8,11.9,37.7
Portland Trail Blazers,82.0,50.0,32.0,48.4,101.5,29.0,68.9,8.8,3.9,17.2,13.3,12.9,38.0
New Jersey Nets,82.0,49.0,33.0,48.2,96.6,30.8,70.2,8.7,4.6,15.6,12.3,10.9,34.2
Indiana Pacers,82.0,48.0,34.0,48.5,99.6,32.0,69.4,8.5,5.4,16.3,13.7,13.8,37.9
Philadelphia 76ers,82.0,48.0,34.0,48.4,100.6,29.5,70.4,10.3,3.5,16.3,12.3,13.8,36.8
New Orleans Hornets,82.0,47.0,35.0,48.5,100.0,30.2,69.7,8.0,4.8,15.9,13.2,12.0,38.6
Utah Jazz,82.0,47.0,35.0,48.2,101.1,29.0,67.3,8.6,5.7,17.6,12.9,11.7,35.3
Boston Celtics,82.0,44.0,38.0,48.4,100.5,30.1,69.1,8.8,3.7,15.0,13.5,11.2,31.9
Phoenix Suns,82.0,44.0,38.0,48.3,101.3,29.8,67.2,8.1,4.9,15.2,15.2,10.4,39.1
Houston Rockets,82.0,43.0,39.0,48.6,100.9,31.3,69.8,7.2,6.0,16.5,13.2,10.7,34.8
Milwaukee Bucks,82.0,42.0,40.0,48.5,106.9,28.9,66.6,7.6,4.2,14.4,15.0,11.9,38.6
Orlando Magic,82.0,42.0,40.0,48.3,103.7,29.2,68.0,8.5,3.7,15.4,14.0,12.5,40.5
Seattle SuperSonics,82.0,40.0,42.0,48.4,102.6,29.1,68.8,8.3,3.6,15.0,13.1,12.5,36.4
Golden State Warriors,82.0,38.0,44.0,48.2,107.7,31.0,66.3,7.2,6.2,18.2,16.0,14.1,44.5
New York Knicks,82.0,37.0,45.0,48.4,104.6,29.0,68.9,7.1,3.1,15.9,12.9,10.4,41.4
Washington Wizards,82.0,37.0,45.0,48.4,102.6,29.2,68.6,7.6,4.8,15.2,13.7,11.7,35.7
Atlanta Hawks,82.0,35.0,47.0,48.5,104.2,31.2,68.1,7.5,5.8,19.0,14.7,13.2,39.1
Chicago Bulls,82.0,30.0,52.0,48.6,104.2,31.0,67.2,7.4,5.6,18.6,14.3,12.6,39.1
Memphis Grizzlies,82.0,28.0,54.0,48.6,105.9,30.1,65.9,7.9,6.1,16.8,15.3,13.8,45.5
Los Angeles Clippers,82.0,27.0,55.0,48.2,105.1,30.0,67.3,7.0,5.6,17.2,14.8,9.9,40.4
Miami Heat,82.0,25.0,57.0,48.4,101.2,30.0,70.9,7.2,4.0,15.0,11.9,10.4,35.3
Toronto Raptors,82.0,24.0,58.0,48.3,105.6,28.7,67.8,7.4,4.8,15.9,14.2,18.3,43.2
Cleveland Cavaliers,82.0,17.0,65.0,48.4,105.1,31.0,69.7,7.8,6.4,20.3,13.1,16.3,39.5
Denver Nuggets,82.0,17.0,65.0,48.1,100.1,28.8,69.7,8.7,5.1,19.4,11.3,13.9,35.0
