general_traditional_Team,general_traditional_GP,general_traditional_W,general_traditional_L,general_traditional_WIN%,general_traditional_Min,general_traditional_PTS,general_traditional_FGM,general_traditional_FGA,general_traditional_FG%,general_traditional_3PM,general_traditional_3PA,general_traditional_3P%,general_traditional_FTM,general_traditional_FTA,general_traditional_FT%,general_traditional_OREB,general_traditional_DREB,general_traditional_REB,general_traditional_AST,general_traditional_TOV,general_traditional_STL,general_traditional_BLK,general_traditional_BLKA,general_traditional_PF,general_traditional_PFD,general_traditional_+/-,general_advanced_TEAM,general_advanced_GP,general_advanced_W,general_advanced_L,general_advanced_MIN,general_advanced_OffRtg,general_advanced_DefRtg,general_advanced_NetRtg,general_advanced_AST%,general_advanced_AST/TO,general_advanced_AST,general_advanced_OREB%,general_advanced_DREB%,general_advanced_REB%,general_advanced_TOV%,general_advanced_eFG%,general_advanced_TS%,general_advanced_PACE,general_advanced_PIE,general_advanced_POSS,general_defense_TEAM,general_defense_GP,general_defense_W,general_defense_L,general_defense_MIN,general_defense_DEF RTG,general_defense_DREB,general_defense_DREB%,general_defense_STL,general_defense_BLK,general_defense_OPP PTS,general_defense_OPP PTS.1,general_defense_OPP PTS.2,general_defense_OPP PTS.3,general_opponent_TEAM,general_opponent_Games Played,general_opponent_Wins,general_opponent_Losses,general_opponent_Minutes Played,general_opponent_Opponent's Field Goals Made,general_opponent_Opponent's Field Goals Attempted,general_opponent_Opponent's Field Goal Percentage,general_opponent_Opponent's 3 Point Field Goals Made,general_opponent_Opponent's 3 Point Field Goals Attempted,general_opponent_Opponent's 3 Point Field Goal Percentage,general_opponent_Opponent's Free Throws Made,general_opponent_Opponent's Free Throws Attempted,general_opponent_Opponent's Free Throw Percentage,general_opponent_Opponent's Offensive Rebounds,general_opponent_Opponent's Defensive Rebounds,general_opponent_Opponent's Rebounds,general_opponent_Opponent's Assists,general_opponent_Opponent's Turnovers,general_opponent_Opponent's Steals,general_opponent_Opponent's Blocks,general_opponent_Opponent's Blocked Field Goal Attempts,general_opponent_Opponent's Personal Fouls,general_opponent_Opponent's Personal Fouls Drawn,general_opponent_Opponent's Points,general_opponent_Plus-Minus,clutch-traditional_TEAM,clutch-traditional_Games Played,clutch-traditional_Wins,clutch-traditional_Losses,clutch-traditional_Win Percentage,clutch-traditional_Minutes Played,clutch-traditional_Points,clutch-traditional_Field Goals Made,clutch-traditional_Field Goals Attempted,clutch-traditional_Field Goal Percentage,clutch-traditional_3 Point Field Goals Made,clutch-traditional_3 Point Field Goals Attempted,clutch-traditional_3 Point Field Goal Percentage,clutch-traditional_Free Throws Made,clutch-traditional_Free Throws Attempted,clutch-traditional_Free Throw Percentage,clutch-traditional_Offensive Rebounds,clutch-traditional_Defensive Rebounds,clutch-traditional_Rebounds,clutch-traditional_Assists,clutch-traditional_Turnovers,clutch-traditional_Steals,clutch-traditional_Blocks,clutch-traditional_Blocks Against,clutch-traditional_Personal Fouls,clutch-traditional_Personal Fouls Drawn,clutch-traditional_Plus-Minus,clutch-advanced_TEAM,clutch-advanced_Games Played,clutch-advanced_Wins,clutch-advanced_Losses,clutch-advanced_Minutes Played,clutch-advanced_Offensive Rating,clutch-advanced_Defensive Rating,clutch-advanced_Net Rating,clutch-advanced_Assist Percentage,clutch-advanced_Assist to Turnover Ratio,clutch-advanced_Assist Ratio,clutch-advanced_Offensive Rebounding Percentage,clutch-advanced_Defensive Rebounding Percentage,clutch-advanced_Rebounding Percentage,clutch-advanced_Turnover Ratio,clutch-advanced_Effective Field Goal Percentage,clutch-advanced_True Shooting Percentage,clutch-advanced_Pace,clutch-advanced_Player Impact Estimate,clutch-opponent_TEAM,clutch-opponent_Games Played,clutch-opponent_Wins,clutch-opponent_Losses,clutch-opponent_Minutes Played,clutch-opponent_Opponent's Field Goals Made,clutch-opponent_Opponent's Field Goals Attempted,clutch-opponent_Opponent's Field Goal Percentage,clutch-opponent_Opponent's 3 Point Field Goals Made,clutch-opponent_Opponent's 3 Point Field Goals Attempted,clutch-opponent_Opponent's 3 Point Field Goal Percentage,clutch-opponent_Opponent's Free Throws Made,clutch-opponent_Opponent's Free Throws Attempted,clutch-opponent_Opponent's Free Throw Percentage,clutch-opponent_Opponent's Offensive Rebounds,clutch-opponent_Opponent's Defensive Rebounds,clutch-opponent_Opponent's Rebounds,clutch-opponent_Opponent's Assists,clutch-opponent_Opponent's Turnovers,clutch-opponent_Opponent's Steals,clutch-opponent_Opponent's Blocks,clutch-opponent_Opponent's Blocked Field Goal Attempts,clutch-opponent_Opponent's Personal Fouls,clutch-opponent_Opponent's Personal Fouls Drawn,clutch-opponent_Opponent's Points,clutch-opponent_Plus-Minus
Detroit Pistons,82.0,64.0,18.0,0.78,48.4,96.8,36.4,80.0,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24.0,11.4,7.1,6.0,3.5,18.5,20.9,6.7,Detroit Pistons,82.0,64.0,18.0,3966.0,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68.0,49.7,12.8,49.7,53.5,87.98,55.7,7268.0,Detroit Pistons,82.0,64.0,18.0,48.4,101.7,28.6,68.0,7.1,6.0,13.5,12.6,11.4,40.1,Detroit Pistons,82.0,64.0,18.0,48.4,35.5,78.7,45.2,4.0,12.3,32.5,15.1,20.5,73.6,11.6,29.3,40.9,18.8,14.0,5.9,3.5,6.0,21.0,18.5,90.2,-6.7,Detroit Pistons,39.0,28.0,11.0,71.8,4.2,9.4,3.1,7.1,42.8,0.7,2.1,36.3,2.5,3.6,70.7,1.5,2.3,3.8,1.6,0.7,0.7,0.5,0.4,1.9,2.5,1.5,Detroit Pistons,39.0,28.0,11.0,162.0,115.1,103.7,11.4,52.1,2.14,13.9,40.3,66.2,51.8,9.1,48.0,53.9,91.0,59.8,Detroit Pistons,39.0,28.0,11.0,4.2,2.6,6.1,42.8,0.3,1.2,27.7,2.4,2.8,85.2,1.0,2.4,3.4,0.9,1.1,0.4,0.4,0.5,2.5,1.9,7.9,-1.5
San Antonio Spurs,82.0,63.0,19.0,0.768,48.3,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6,6.8,San Antonio Spurs,82.0,63.0,19.0,3961.0,106.2,98.7,7.5,57.4,1.52,17.0,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4,7382.0,San Antonio Spurs,82.0,63.0,19.0,48.3,98.7,31.1,70.8,6.6,5.7,13.1,11.8,11.0,39.1,San Antonio Spurs,82.0,63.0,19.0,48.3,33.9,78.3,43.3,3.7,10.8,33.9,17.2,23.3,74.0,10.8,29.5,40.3,16.3,13.9,7.3,4.2,5.7,20.8,20.9,88.8,-6.8,San Antonio Spurs,39.0,29.0,10.0,74.4,3.9,8.7,2.5,5.8,43.2,0.3,1.1,31.7,3.4,4.6,72.4,0.9,3.1,4.0,1.2,1.1,0.6,0.5,0.4,2.1,2.8,1.3,San Antonio Spurs,39.0,29.0,10.0,151.0,104.0,92.6,11.3,46.9,1.12,11.0,30.3,70.2,52.3,12.5,46.0,55.4,101.57,65.3,San Antonio Spurs,39.0,29.0,10.0,3.9,2.4,6.4,37.3,0.3,1.0,33.3,2.3,3.4,67.7,1.0,2.4,3.4,1.2,0.9,0.5,0.4,0.5,2.8,2.1,7.4,-1.3
Dallas Mavericks,82.0,60.0,22.0,0.732,48.5,99.1,36.0,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18.0,13.6,7.2,6.0,4.9,22.4,23.6,6.1,Dallas Mavericks,82.0,60.0,22.0,3976.0,109.9,103.2,6.7,50.0,1.32,14.6,34.7,69.0,52.2,15.0,49.5,55.0,89.3,55.1,7397.0,Dallas Mavericks,82.0,60.0,22.0,48.5,103.2,29.6,69.0,7.2,6.0,14.0,12.8,12.3,35.9,Dallas Mavericks,82.0,60.0,22.0,48.5,34.2,77.1,44.3,4.9,13.7,36.1,19.8,26.4,75.2,11.4,26.9,38.3,17.5,14.0,6.5,4.9,6.0,23.9,22.4,93.1,-6.1,Dallas Mavericks,44.0,32.0,12.0,72.7,4.2,9.3,2.7,6.6,41.1,0.4,1.5,29.2,3.4,4.5,74.9,1.2,2.6,3.8,1.2,0.7,0.5,0.7,0.5,2.2,3.3,1.4,Dallas Mavericks,44.0,32.0,12.0,183.0,108.5,100.6,7.9,42.5,1.65,10.4,35.1,67.9,51.4,8.2,44.3,53.7,94.2,63.0,Dallas Mavericks,44.0,32.0,12.0,4.2,2.5,6.5,38.5,0.6,1.8,30.9,2.3,2.9,78.1,1.2,2.8,3.9,1.0,1.0,0.3,0.5,0.7,3.3,2.2,7.8,-1.4
Phoenix Suns,82.0,54.0,28.0,0.659,48.7,108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18.0,80.6,9.5,32.3,41.8,26.6,13.3,6.7,5.0,3.4,20.5,19.8,5.5,Phoenix Suns,82.0,54.0,28.0,3991.0,110.2,104.7,5.4,63.5,2.0,19.5,25.6,69.0,48.0,13.5,53.7,56.8,96.92,54.7,8067.0,Phoenix Suns,82.0,54.0,28.0,48.7,104.7,32.3,69.0,6.7,5.0,14.9,14.6,11.2,41.4,Phoenix Suns,82.0,54.0,28.0,48.7,39.5,87.1,45.4,6.3,17.4,36.3,17.4,23.9,73.1,12.5,33.4,45.9,18.9,14.9,7.2,3.4,5.0,19.8,20.5,102.8,-5.5,Phoenix Suns,43.0,22.0,21.0,51.2,4.2,9.3,3.2,7.1,44.4,0.7,2.1,33.0,2.2,2.7,82.1,0.8,2.6,3.4,1.7,0.9,0.5,0.3,0.3,2.6,2.4,0.5,Phoenix Suns,43.0,22.0,21.0,182.0,109.9,107.4,2.5,54.4,1.95,15.3,31.8,68.5,50.3,10.5,49.3,55.7,93.87,54.7,Phoenix Suns,43.0,22.0,21.0,4.2,3.0,6.5,45.4,0.6,1.5,40.0,2.2,3.4,64.6,0.9,2.6,3.5,1.3,1.0,0.5,0.3,0.3,2.4,2.6,8.7,-0.5
Miami Heat,82.0,52.0,30.0,0.634,48.2,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70.0,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,3.9,Miami Heat,82.0,52.0,30.0,3951.0,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8,7622.0,Miami Heat,82.0,52.0,30.0,48.2,103.4,32.6,72.6,6.4,5.4,16.4,11.9,12.4,35.3,Miami Heat,82.0,52.0,30.0,48.2,35.0,79.6,44.0,6.0,16.6,36.1,20.0,27.1,73.9,10.1,28.8,38.8,19.5,13.0,6.8,3.6,5.4,23.6,22.8,96.0,-3.9,Miami Heat,42.0,22.0,20.0,52.4,3.5,8.0,2.5,5.6,45.3,0.5,1.7,29.6,2.5,3.4,73.0,1.0,2.1,3.1,1.3,0.7,0.4,0.2,0.2,1.9,2.3,0.0,Miami Heat,42.0,22.0,20.0,149.0,116.7,109.5,7.2,50.9,1.8,13.7,37.4,69.6,53.0,10.4,49.8,56.7,95.7,52.6,Miami Heat,42.0,22.0,20.0,3.5,2.5,5.4,45.4,0.6,1.5,44.3,2.4,3.1,78.3,0.7,2.0,2.7,1.2,0.9,0.4,0.2,0.2,2.3,1.9,8.0,0.0
Cleveland Cavaliers,82.0,50.0,32.0,0.61,48.4,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19.0,13.9,6.9,4.8,4.4,21.1,22.5,2.2,Cleveland Cavaliers,82.0,50.0,32.0,3966.0,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51.0,7510.0,Cleveland Cavaliers,82.0,50.0,32.0,48.4,104.4,30.6,71.7,6.9,4.8,15.6,11.9,10.8,37.2,Cleveland Cavaliers,82.0,50.0,32.0,48.4,36.0,79.0,45.5,5.6,15.7,35.6,17.8,24.0,74.2,9.8,29.5,39.4,20.3,13.2,6.6,4.4,4.8,22.5,21.1,95.4,-2.2,Cleveland Cavaliers,52.0,30.0,22.0,57.7,3.7,8.9,2.6,5.4,48.1,0.5,1.4,34.7,3.2,4.4,72.1,0.8,2.5,3.3,1.3,0.8,0.3,0.4,0.4,2.5,2.7,0.6,Cleveland Cavaliers,52.0,30.0,22.0,190.0,116.4,108.9,7.5,51.5,1.79,13.5,30.6,69.6,51.4,9.8,52.5,60.2,100.01,56.3,Cleveland Cavaliers,52.0,30.0,22.0,3.7,2.5,6.0,41.2,0.4,1.7,25.0,2.9,3.8,76.1,0.9,2.2,3.1,1.1,0.6,0.4,0.4,0.4,2.7,2.5,8.3,-0.6
Memphis Grizzlies,82.0,49.0,33.0,0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18.0,25.3,71.1,10.2,29.0,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7,Memphis Grizzlies,82.0,49.0,33.0,3971.0,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69.0,49.6,15.7,49.6,53.7,87.39,51.6,7232.0,Memphis Grizzlies,82.0,49.0,33.0,48.4,100.4,29.0,69.0,7.3,5.4,14.8,12.6,12.3,36.3,Memphis Grizzlies,82.0,49.0,33.0,48.4,32.8,75.3,43.6,5.0,14.9,33.4,17.9,23.7,75.4,11.3,29.3,40.6,19.6,14.8,7.3,5.6,5.4,22.8,21.4,88.5,-3.7,Memphis Grizzlies,44.0,24.0,20.0,54.5,4.2,9.1,2.7,6.6,40.2,0.8,2.0,39.8,3.0,3.8,79.4,0.9,2.7,3.6,1.5,1.0,0.5,0.5,0.6,2.4,2.6,1.3,Memphis Grizzlies,44.0,24.0,20.0,185.0,108.1,97.7,10.4,54.7,1.45,13.0,32.1,69.7,50.7,11.9,46.2,55.0,93.51,55.7,Memphis Grizzlies,44.0,24.0,20.0,4.2,2.5,6.3,39.0,0.4,1.4,27.4,2.5,3.2,78.6,1.0,2.7,3.7,1.3,1.0,0.6,0.6,0.5,2.6,2.4,7.8,-1.3
New Jersey Nets,82.0,49.0,33.0,0.598,48.2,93.8,33.9,77.0,44.0,5.8,17.6,33.0,20.2,26.7,75.8,10.0,31.0,41.0,23.0,13.6,6.8,3.4,4.0,23.2,23.0,1.4,New Jersey Nets,82.0,49.0,33.0,3956.0,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73.0,50.1,14.9,47.8,52.8,91.17,51.3,7513.0,New Jersey Nets,82.0,49.0,33.0,48.2,100.9,31.0,73.0,6.8,3.4,14.7,10.7,11.3,34.4,New Jersey Nets,82.0,49.0,33.0,48.2,33.3,75.9,43.9,5.7,16.3,34.8,20.2,27.2,74.1,9.6,31.7,41.3,20.0,14.4,7.2,4.0,3.4,23.0,23.2,92.4,-1.4,New Jersey Nets,45.0,28.0,17.0,62.2,3.2,7.6,2.0,5.4,37.9,0.4,1.4,30.6,3.1,3.8,80.3,1.3,2.0,3.3,1.2,0.5,0.5,0.3,0.3,2.1,2.6,0.7,New Jersey Nets,45.0,28.0,17.0,142.0,113.2,104.0,9.2,60.9,2.33,13.2,40.4,69.9,54.2,7.9,41.8,53.6,101.35,60.2,New Jersey Nets,45.0,28.0,17.0,3.2,2.0,4.8,41.7,0.4,1.5,28.4,2.4,3.2,76.4,0.7,2.1,2.8,1.0,1.0,0.2,0.3,0.3,2.6,2.1,6.9,-0.7
Los Angeles Clippers,82.0,47.0,35.0,0.573,48.3,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33.0,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7,1.6,Los Angeles Clippers,82.0,47.0,35.0,3961.0,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54.0,92.99,52.3,7675.0,Los Angeles Clippers,82.0,47.0,35.0,48.3,102.2,33.0,71.9,6.5,6.1,15.7,12.5,9.8,39.0,Los Angeles Clippers,82.0,47.0,35.0,48.3,35.2,81.0,43.5,5.8,16.7,34.7,19.4,26.5,73.2,10.5,29.7,40.1,21.5,12.8,7.0,4.3,6.1,21.7,22.8,95.6,-1.6,Los Angeles Clippers,40.0,23.0,17.0,57.5,3.7,8.5,2.8,5.7,48.7,0.6,1.1,48.9,2.4,3.0,82.2,0.7,2.8,3.5,1.7,0.7,0.4,0.6,0.4,2.2,1.9,1.4,Los Angeles Clippers,40.0,23.0,17.0,148.0,117.6,96.3,21.3,59.5,2.44,17.0,26.4,65.7,49.4,9.3,53.5,60.9,95.22,65.3,Los Angeles Clippers,40.0,23.0,17.0,3.7,2.2,6.3,35.2,0.5,1.6,31.7,2.2,3.0,73.1,1.0,2.2,3.2,1.3,0.8,0.3,0.4,0.6,1.9,2.2,7.1,-1.4
Los Angeles Lakers,82.0,45.0,37.0,0.549,48.4,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5,2.5,Los Angeles Lakers,82.0,45.0,37.0,3971.0,106.8,104.2,2.6,58.0,1.52,16.5,31.6,70.1,50.7,15.0,49.5,53.9,92.22,51.8,7632.0,Los Angeles Lakers,82.0,45.0,37.0,48.4,104.2,30.3,70.1,7.7,4.3,14.0,13.2,10.1,39.1,Los Angeles Lakers,82.0,45.0,37.0,48.4,35.9,79.8,45.0,5.8,16.4,35.3,19.3,25.9,74.7,10.9,29.3,40.1,21.1,14.1,6.5,4.3,4.3,23.5,23.1,96.9,-2.5,Los Angeles Lakers,41.0,18.0,23.0,43.9,4.4,9.3,2.9,6.8,42.9,0.6,1.9,30.8,2.9,3.8,77.3,1.1,2.4,3.6,1.4,0.9,0.5,0.3,0.4,2.8,2.5,-0.3,Los Angeles Lakers,41.0,18.0,23.0,179.0,110.7,111.9,-1.2,47.5,1.54,12.4,36.7,60.8,48.7,10.7,47.1,55.1,94.05,48.4,Los Angeles Lakers,41.0,18.0,23.0,4.4,3.1,6.9,45.2,0.7,1.8,36.5,2.8,4.0,70.1,1.4,2.4,3.8,1.6,1.1,0.4,0.4,0.3,2.5,2.8,9.7,0.3
Denver Nuggets,82.0,44.0,38.0,0.537,48.6,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21.0,28.2,74.4,11.0,30.3,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3,0.2,Denver Nuggets,82.0,44.0,38.0,3986.0,104.4,104.1,0.3,62.4,1.58,17.6,30.0,68.2,49.4,15.4,48.8,53.5,94.9,51.2,7877.0,Denver Nuggets,82.0,44.0,38.0,48.6,104.1,30.3,68.2,8.5,5.6,16.7,14.2,14.2,41.1,Denver Nuggets,82.0,44.0,38.0,48.6,37.4,82.5,45.4,6.5,18.0,35.8,18.8,25.5,73.6,11.8,30.1,41.9,23.9,16.1,7.1,5.3,5.6,23.3,22.7,100.1,-0.2,Denver Nuggets,41.0,22.0,19.0,53.7,4.7,9.7,2.9,6.8,41.9,0.4,1.3,32.1,3.5,4.5,78.0,1.1,2.8,3.9,1.6,1.3,0.6,0.6,0.5,2.3,3.0,-0.2,Denver Nuggets,41.0,22.0,19.0,191.0,107.3,106.8,0.5,57.3,1.22,13.5,34.7,60.4,48.3,14.9,45.0,54.9,94.18,51.3,Denver Nuggets,41.0,22.0,19.0,4.7,3.4,8.2,41.5,0.7,2.1,33.3,2.4,3.2,76.2,1.5,2.7,4.1,2.0,1.1,0.7,0.5,0.6,3.0,2.3,9.9,0.2
Sacramento Kings,82.0,44.0,38.0,0.537,48.4,98.9,36.0,79.3,45.4,6.0,17.2,35.1,20.8,26.5,78.4,10.4,30.2,40.5,22.3,14.6,7.4,3.6,4.9,20.4,22.8,1.5,Sacramento Kings,82.0,44.0,38.0,3966.0,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5,7701.0,Sacramento Kings,82.0,44.0,38.0,48.4,103.5,30.2,69.4,7.4,3.6,16.5,12.8,12.1,39.9,Sacramento Kings,82.0,44.0,38.0,48.4,37.2,82.0,45.4,5.6,16.0,35.1,17.2,23.1,74.7,11.6,30.5,42.1,21.1,14.6,8.0,4.9,3.6,23.0,20.4,97.3,-1.5,Sacramento Kings,40.0,21.0,19.0,52.5,4.0,8.1,2.2,6.3,35.2,0.6,1.8,33.8,3.0,3.8,79.6,1.2,2.7,3.8,1.3,1.1,0.5,0.2,0.6,2.3,2.7,0.2,Sacramento Kings,40.0,21.0,19.0,158.0,100.0,96.6,3.4,58.4,1.24,12.1,34.5,68.3,51.5,13.0,39.9,50.5,98.53,52.2,Sacramento Kings,40.0,21.0,19.0,4.0,2.5,6.6,38.2,0.5,2.2,20.7,2.5,3.2,76.0,1.0,2.6,3.6,1.1,1.0,0.6,0.6,0.2,2.7,2.3,7.9,-0.2
Washington Wizards,82.0,42.0,40.0,0.512,48.4,101.7,36.3,81.2,44.7,6.1,17.0,35.7,23.0,30.4,75.7,12.6,28.6,41.2,18.6,13.9,8.0,4.1,4.2,22.6,25.0,1.9,Washington Wizards,82.0,42.0,40.0,3966.0,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3,7742.0,Washington Wizards,82.0,42.0,40.0,48.4,105.8,28.6,67.9,8.0,4.1,15.9,13.1,12.5,40.4,Washington Wizards,82.0,42.0,40.0,48.4,36.8,79.0,46.5,6.1,16.8,36.3,20.2,27.1,74.5,11.8,30.2,42.0,21.5,16.2,6.5,4.2,4.1,25.3,22.6,99.8,-1.9,Washington Wizards,48.0,22.0,26.0,45.8,3.8,8.4,2.5,6.3,39.5,0.4,1.5,27.8,3.0,3.9,77.5,1.0,2.3,3.3,0.9,1.0,0.7,0.3,0.4,2.4,2.5,-0.3,Washington Wizards,48.0,22.0,26.0,184.0,101.8,107.8,-6.0,37.5,0.94,8.9,30.6,64.9,46.7,12.1,42.8,52.4,102.18,45.3,Washington Wizards,48.0,22.0,26.0,3.8,2.8,6.3,45.3,0.5,1.6,33.3,2.5,3.6,69.4,1.1,2.9,4.0,1.5,1.2,0.5,0.4,0.3,2.5,2.4,8.7,0.3
