TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Dallas Mavericks,38.0,32.0,6.0,84.2,4.0,9.7,3.0,6.8,43.8,0.4,1.6,26.7,3.2,3.9,82.0,1.3,3.1,4.4,1.3,1.0,0.5,0.6,0.4,2.3,2.8,2.8
Phoenix Suns,45.0,28.0,17.0,62.2,3.9,9.4,3.0,6.7,44.6,0.8,2.2,36.1,2.6,3.4,78.8,0.9,2.2,3.1,1.9,1.0,0.4,0.5,0.4,2.2,2.6,1.0
Miami Heat,38.0,23.0,15.0,60.5,4.8,10.8,3.3,7.4,44.1,0.8,2.2,35.4,3.5,4.9,71.0,1.3,3.0,4.3,1.7,1.3,0.8,0.6,0.2,3.3,3.3,1.0
Toronto Raptors,39.0,23.0,16.0,59.0,3.5,8.2,2.4,5.8,41.7,0.6,1.8,36.2,2.7,3.5,76.8,0.8,2.1,2.9,1.2,0.7,0.4,0.3,0.3,1.9,2.7,0.5
Detroit Pistons,52.0,30.0,22.0,57.7,4.1,9.7,3.3,7.4,45.1,0.6,1.8,31.9,2.5,3.3,76.9,1.3,2.4,3.8,1.6,0.7,0.6,0.6,0.4,2.5,2.3,1.6
New Orleans/Oklahoma City Hornets,49.0,28.0,21.0,57.1,4.3,8.6,2.8,6.7,41.8,0.5,1.7,27.7,2.5,3.5,72.1,1.2,2.9,4.1,1.2,1.2,0.6,0.3,0.6,2.3,2.7,0.3
Utah Jazz,46.0,26.0,20.0,56.5,4.1,10.3,3.4,6.9,49.1,0.7,2.2,33.3,2.8,3.5,81.4,1.0,2.6,3.5,2.0,1.0,0.4,0.4,0.5,2.6,2.3,1.1
Cleveland Cavaliers,48.0,27.0,21.0,56.3,4.3,9.7,3.1,7.3,42.7,0.7,2.4,29.8,2.8,3.9,70.4,1.3,2.8,4.0,1.8,1.1,0.7,0.3,0.6,2.9,2.6,1.2
Houston Rockets,48.0,26.0,22.0,54.2,3.3,7.8,2.3,5.8,39.9,0.7,2.2,33.0,2.5,3.0,83.1,0.8,2.2,3.0,1.3,0.9,0.3,0.3,0.3,2.0,1.9,0.1
Chicago Bulls,43.0,23.0,20.0,53.5,3.6,7.9,2.3,5.9,40.1,0.4,1.4,27.1,2.9,3.7,78.3,0.8,2.6,3.4,1.2,0.9,0.5,0.6,0.5,2.3,2.4,0.7
Philadelphia 76ers,38.0,20.0,18.0,52.6,4.8,11.4,3.4,7.5,45.4,0.4,1.3,29.2,4.2,5.4,78.9,1.1,3.3,4.4,1.9,1.2,0.5,0.6,0.4,2.8,3.5,1.5
Portland Trail Blazers,42.0,22.0,20.0,52.4,4.9,11.6,3.6,8.1,44.7,0.5,1.5,36.1,3.8,4.7,81.2,1.6,2.9,4.5,1.5,1.0,0.5,0.5,0.3,2.7,3.2,0.3
Denver Nuggets,46.0,24.0,22.0,52.2,3.6,7.3,2.3,5.9,38.2,0.5,1.8,26.8,2.3,3.1,74.6,1.0,2.5,3.4,1.3,0.9,0.4,0.5,0.3,2.0,2.1,-0.3
Golden State Warriors,39.0,20.0,19.0,51.3,3.5,7.3,2.5,6.2,39.8,0.6,2.3,27.5,1.7,2.3,73.6,1.3,2.2,3.5,1.2,1.3,0.4,0.4,0.3,2.1,1.8,-0.6
Los Angeles Clippers,39.0,20.0,19.0,51.3,3.4,7.8,2.3,5.4,42.7,0.2,1.1,21.4,2.9,3.5,84.6,0.9,1.9,2.8,1.2,0.9,0.4,0.7,0.3,2.3,2.3,-0.1
Atlanta Hawks,38.0,19.0,19.0,50.0,4.2,8.4,2.7,6.8,40.5,0.5,2.0,26.3,2.4,3.2,74.6,1.1,2.6,3.7,1.4,1.0,0.6,0.5,0.6,2.4,2.4,-0.6
Los Angeles Lakers,48.0,24.0,24.0,50.0,4.7,10.4,3.0,7.1,42.1,0.7,2.3,32.1,3.6,4.9,74.4,1.1,2.8,3.8,1.6,1.2,0.8,0.5,0.6,3.1,3.4,-0.2
San Antonio Spurs,40.0,20.0,20.0,50.0,3.4,7.2,2.2,5.1,42.4,0.6,1.8,32.4,2.3,3.4,66.2,1.0,2.1,3.1,1.2,1.0,0.5,0.3,0.3,1.8,2.5,-0.1
Charlotte Bobcats,39.0,19.0,20.0,48.7,5.0,9.5,3.2,8.2,39.4,0.6,1.7,33.8,2.5,3.6,69.3,1.7,2.7,4.4,1.5,1.3,0.8,0.7,0.9,3.1,2.7,-0.6
Minnesota Timberwolves,48.0,23.0,25.0,47.9,5.0,9.7,3.1,7.7,40.2,0.6,1.5,39.2,2.9,3.5,82.8,1.0,3.2,4.3,1.8,1.2,0.3,0.4,0.4,2.9,2.5,-0.8
New Jersey Nets,48.0,22.0,26.0,45.8,4.0,9.2,2.7,6.1,44.0,0.5,1.9,24.4,3.4,4.6,73.3,0.8,2.6,3.4,1.6,1.2,0.5,0.3,0.4,2.6,3.0,-0.8
New York Knicks,49.0,22.0,27.0,44.9,4.6,10.0,3.1,6.9,45.4,0.6,1.8,33.3,3.2,4.1,77.6,1.2,3.0,4.3,1.4,1.4,0.5,0.3,0.5,2.6,2.8,0.1
Indiana Pacers,41.0,18.0,23.0,43.9,3.6,8.0,2.5,6.1,40.4,0.4,1.5,27.0,2.6,3.4,76.6,1.3,2.3,3.6,1.4,1.1,0.6,0.3,0.4,2.5,2.4,-0.3
Orlando Magic,42.0,18.0,24.0,42.9,4.0,6.8,2.0,5.9,34.4,0.2,1.2,18.0,2.5,3.6,69.1,1.2,2.4,3.6,1.0,1.4,0.5,0.4,0.4,2.6,2.4,-1.3
Washington Wizards,47.0,20.0,27.0,42.6,4.2,9.7,2.5,6.5,38.0,0.7,2.1,32.0,4.1,5.2,78.8,0.9,2.6,3.5,1.2,1.1,0.7,0.3,0.5,3.6,3.1,-1.7
Milwaukee Bucks,44.0,17.0,27.0,38.6,4.1,8.2,2.6,6.1,42.2,0.4,1.5,26.6,2.6,3.5,75.3,0.8,2.3,3.1,1.2,1.2,0.5,0.2,0.5,3.0,2.6,-1.2
Sacramento Kings,44.0,17.0,27.0,38.6,3.8,8.0,2.2,6.1,36.6,0.6,1.9,30.6,2.9,3.5,83.1,0.7,2.4,3.1,1.3,0.9,0.5,0.3,0.4,3.0,2.4,-1.6
Seattle SuperSonics,47.0,18.0,29.0,38.3,4.2,8.9,2.8,6.9,40.6,0.7,2.1,33.3,2.7,3.3,79.6,1.4,2.5,3.9,1.4,0.9,0.5,0.4,0.4,2.8,2.2,-0.1
Memphis Grizzlies,42.0,15.0,27.0,35.7,5.1,10.4,3.4,8.1,41.6,0.8,2.2,37.6,2.8,3.9,73.5,1.4,3.1,4.5,1.7,1.3,0.5,0.7,0.7,3.3,2.9,-1.3
Boston Celtics,53.0,16.0,37.0,30.2,3.7,7.2,2.3,5.6,42.0,0.3,1.3,22.4,2.3,2.7,84.0,0.7,2.2,2.9,1.1,1.0,0.6,0.5,0.5,2.1,2.0,-0.3
