TEAM,Games Played,Wins,Losses,Minutes Played,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding Percentage,Defensive Rebounding Percentage,Rebounding Percentage,Turnover Ratio,Effective Field Goal Percentage,True Shooting Percentage,Pace,Player Impact Estimate
Los Angeles Lakers,43.0,31.0,12.0,194.0,115.3,94.8,20.5,61.1,2.39,17.2,34.9,68.5,52.9,10.0,51.6,57.0,92.17,65.5
Memphis Grizzlies,43.0,27.0,16.0,146.0,110.3,99.0,11.2,50.9,1.87,13.4,34.4,67.1,50.3,9.6,47.8,55.3,101.41,60.8
Atlanta Hawks,36.0,24.0,12.0,183.0,109.8,92.9,16.9,53.3,1.6,14.2,38.1,68.0,53.3,12.3,48.7,54.2,94.32,64.0
Utah Jazz,41.0,24.0,17.0,200.0,101.2,101.8,-0.5,50.0,1.57,13.3,33.9,71.2,52.0,11.4,43.6,49.6,95.8,51.6
Houston Rockets,43.0,23.0,20.0,173.0,104.9,100.3,4.6,47.9,1.12,12.8,29.4,67.2,49.1,14.7,48.7,56.3,94.89,54.0
Chicago Bulls,30.0,22.0,8.0,92.0,110.8,97.3,13.4,52.9,1.54,12.7,45.7,66.3,55.5,11.8,43.1,51.5,101.74,62.7
San Antonio Spurs,31.0,22.0,9.0,133.0,106.8,92.6,14.2,47.5,1.45,13.2,29.2,72.2,51.2,11.8,50.0,55.5,96.36,64.0
Indiana Pacers,30.0,21.0,9.0,137.0,110.7,89.3,21.4,54.6,1.43,12.9,45.7,72.8,59.0,12.8,41.9,51.8,99.68,68.5
Los Angeles Clippers,40.0,21.0,19.0,186.0,101.3,100.3,1.0,49.6,1.05,12.1,29.9,70.4,50.8,14.7,45.7,54.6,101.65,51.0
Boston Celtics,31.0,18.0,13.0,117.0,104.1,100.9,3.3,60.0,1.65,15.7,32.2,63.9,48.8,12.9,47.2,53.8,96.2,54.1
Denver Nuggets,34.0,18.0,16.0,185.0,102.1,104.4,-2.2,56.2,1.62,13.7,30.7,70.8,50.4,11.3,43.7,51.3,95.77,49.5
Miami Heat,29.0,18.0,11.0,131.0,102.6,93.8,8.8,48.4,1.5,13.0,27.3,69.1,48.5,11.2,46.7,53.4,96.25,58.4
Milwaukee Bucks,40.0,18.0,22.0,124.0,96.6,108.6,-12.0,57.8,1.66,13.2,32.3,60.5,44.8,10.9,40.0,47.2,101.17,41.5
Oklahoma City Thunder,32.0,18.0,14.0,157.0,105.2,101.5,3.7,37.9,0.98,9.5,29.2,63.9,47.2,12.3,44.1,53.3,99.19,54.5
Orlando Magic,33.0,17.0,16.0,126.0,108.6,97.2,11.4,48.8,1.71,11.8,35.2,73.6,54.0,9.4,47.4,53.2,96.47,56.7
Minnesota Timberwolves,41.0,16.0,25.0,144.0,104.4,107.4,-3.1,49.5,1.31,12.1,32.9,68.8,50.5,12.1,44.1,52.5,100.7,44.7
New Orleans Hornets,40.0,16.0,24.0,167.0,95.3,108.8,-13.5,53.8,1.08,13.4,33.3,64.6,49.9,16.5,44.3,51.4,91.79,41.8
New York Knicks,31.0,16.0,15.0,116.0,106.5,101.2,5.3,42.7,1.52,11.1,37.0,60.9,49.1,9.9,44.7,50.7,99.28,48.8
Phoenix Suns,33.0,16.0,17.0,95.0,103.7,114.6,-10.9,55.7,1.26,13.3,32.0,66.7,48.9,14.1,46.0,54.1,98.81,40.7
Dallas Mavericks,32.0,15.0,17.0,156.0,102.7,102.6,0.1,50.5,1.53,13.1,31.4,73.3,51.8,11.3,46.1,52.3,94.03,51.9
Sacramento Kings,33.0,15.0,18.0,136.0,102.6,96.4,6.2,38.2,0.89,9.4,42.4,68.2,55.2,14.0,42.2,50.0,97.56,53.9
Detroit Pistons,31.0,14.0,17.0,119.0,98.3,107.9,-9.6,50.0,1.06,11.9,30.0,60.7,44.8,14.6,45.3,51.7,96.56,40.1
New Jersey Nets,32.0,13.0,19.0,113.0,103.1,116.3,-13.2,60.5,1.53,15.1,29.1,71.0,49.8,13.2,47.5,54.3,99.03,40.8
Golden State Warriors,38.0,12.0,26.0,158.0,91.8,112.6,-20.8,41.0,0.91,10.4,22.5,59.1,39.9,14.2,44.4,49.9,97.55,33.2
Portland Trail Blazers,32.0,12.0,20.0,136.0,94.4,97.5,-3.1,47.1,1.05,11.9,26.1,69.5,47.2,14.2,45.5,51.4,96.7,43.2
Toronto Raptors,34.0,12.0,22.0,133.0,91.8,111.1,-19.3,51.2,0.92,12.0,35.3,69.7,52.2,17.0,42.4,49.3,102.91,32.7
Cleveland Cavaliers,31.0,11.0,20.0,119.0,105.1,106.7,-1.6,48.8,1.7,12.7,29.5,63.2,47.1,9.8,45.5,52.7,98.21,47.1
Washington Wizards,27.0,9.0,18.0,93.0,92.6,108.7,-16.1,46.6,1.17,10.8,31.3,57.6,44.8,12.2,41.1,46.1,99.54,33.9
Philadelphia 76ers,27.0,7.0,20.0,97.0,89.9,105.7,-15.8,50.0,1.33,11.3,23.1,64.3,44.4,10.6,40.1,48.1,100.33,36.5
Charlotte Bobcats,24.0,5.0,19.0,78.0,84.8,115.9,-31.1,56.5,1.08,12.6,33.7,66.7,50.6,15.2,40.7,46.7,101.38,27.9
