TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
Miami Heat,82.0,66.0,16.0,3976.0,111.4,103.2,8.2,60.0,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4,7572.0
Oklahoma City Thunder,82.0,60.0,22.0,3966.0,111.0,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16.0,52.7,58.0,94.58,57.0,7808.0
San Antonio Spurs,82.0,58.0,24.0,3976.0,107.0,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95.31,55.1,7892.0
Denver Nuggets,82.0,57.0,25.0,3981.0,109.3,104.2,5.1,60.0,1.6,17.8,34.5,67.5,51.3,15.7,51.5,54.9,95.92,53.8,7960.0
Los Angeles Clippers,82.0,56.0,26.0,3946.0,109.8,102.8,6.9,62.0,1.64,18.4,32.3,69.7,51.2,15.9,52.6,55.7,91.83,54.8,7552.0
Memphis Grizzlies,82.0,56.0,26.0,3961.0,103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52.0,15.5,47.2,51.4,89.56,53.1,7394.0
New York Knicks,82.0,54.0,28.0,3946.0,109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55.0,90.68,51.2,7462.0
Brooklyn Nets,82.0,49.0,33.0,3971.0,106.9,104.8,2.0,56.7,1.38,16.1,34.3,70.1,52.0,16.2,49.8,53.6,89.88,50.9,7433.0
Indiana Pacers,81.0,49.0,32.0,3918.0,103.4,99.0,4.4,57.8,1.34,16.0,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7,7420.0
Golden State Warriors,82.0,47.0,35.0,3961.0,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2,7893.0
Chicago Bulls,82.0,45.0,37.0,3966.0,102.4,101.9,0.5,64.5,1.61,17.8,33.2,69.9,51.4,15.7,47.0,51.2,90.35,51.4,7460.0
Houston Rockets,82.0,45.0,37.0,3956.0,108.8,105.3,3.5,60.9,1.41,17.3,30.5,71.0,50.9,16.9,52.5,56.4,96.89,51.0,7988.0
Los Angeles Lakers,82.0,45.0,37.0,3951.0,107.0,105.9,1.1,59.8,1.48,16.8,30.9,70.2,51.0,15.7,51.2,54.8,95.08,51.3,7830.0
Atlanta Hawks,82.0,44.0,38.0,3971.0,103.7,103.4,0.3,65.1,1.65,18.8,25.4,70.1,48.2,15.7,51.7,54.6,93.56,50.9,7744.0
Utah Jazz,82.0,43.0,39.0,3976.0,105.4,105.6,-0.2,61.0,1.54,17.4,32.9,69.7,51.0,15.9,49.2,53.3,92.05,50.4,7629.0
Boston Celtics,81.0,41.0,40.0,3968.0,102.2,102.6,-0.5,61.4,1.56,17.9,24.6,69.0,47.7,15.4,50.3,54.2,92.46,50.7,7652.0
Dallas Mavericks,82.0,41.0,41.0,3996.0,104.7,105.4,-0.6,59.9,1.67,17.7,25.9,69.8,48.4,14.4,50.6,54.4,95.09,50.2,7917.0
Milwaukee Bucks,82.0,38.0,44.0,3966.0,102.5,104.2,-1.7,60.0,1.62,17.0,31.5,67.8,49.1,14.6,47.6,51.0,95.65,48.8,7909.0
Philadelphia 76ers,82.0,34.0,48.0,3951.0,101.0,104.7,-3.7,61.0,1.74,17.7,29.1,69.5,48.9,14.1,48.1,50.9,91.88,47.4,7566.0
Toronto Raptors,82.0,34.0,48.0,3996.0,105.0,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49.0,14.8,48.8,53.2,91.26,48.4,7591.0
Portland Trail Blazers,82.0,33.0,49.0,3971.0,104.5,107.9,-3.4,59.3,1.48,17.0,29.4,70.2,49.5,15.7,49.8,53.6,92.46,46.8,7649.0
Minnesota Timberwolves,82.0,31.0,51.0,3946.0,101.8,104.0,-2.2,62.4,1.51,17.1,31.2,70.2,50.0,15.7,47.3,51.6,93.94,49.4,7712.0
Detroit Pistons,82.0,29.0,53.0,3961.0,102.7,107.2,-4.5,58.5,1.4,16.6,32.4,69.5,50.6,16.4,48.7,52.1,91.68,46.7,7571.0
Washington Wizards,82.0,29.0,53.0,3971.0,99.3,101.6,-2.3,61.0,1.43,16.9,27.9,70.6,49.1,16.1,47.5,51.2,93.23,48.1,7699.0
Sacramento Kings,82.0,28.0,54.0,3966.0,105.3,110.0,-4.7,55.3,1.42,16.0,30.6,67.3,48.5,15.4,49.1,53.2,94.65,45.4,7804.0
New Orleans Hornets,82.0,27.0,55.0,3956.0,104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4,7379.0
Phoenix Suns,82.0,25.0,57.0,3961.0,100.2,106.9,-6.7,60.6,1.45,17.1,30.8,68.7,49.1,16.4,47.7,51.2,94.48,45.8,7793.0
Cleveland Cavaliers,82.0,24.0,58.0,3946.0,103.2,108.2,-5.0,56.6,1.47,15.9,32.6,69.5,50.0,15.0,47.3,51.4,93.25,45.0,7666.0
Charlotte Bobcats,82.0,21.0,61.0,3961.0,100.4,110.3,-9.9,56.2,1.38,15.3,30.5,67.9,48.6,15.1,46.0,50.7,92.49,43.8,7632.0
Orlando Magic,82.0,20.0,62.0,3956.0,100.9,108.4,-7.4,60.5,1.57,17.6,29.3,70.7,49.8,15.6,48.5,51.4,92.81,45.9,7646.0
