TEAM,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Indiana Pacers,82.0,82.0,100.0,34.8,82.7,42.0,45.2,-3.2
Chicago Bulls,82.0,82.0,100.0,34.9,81.0,43.1,45.3,-2.2
Golden State Warriors,81.0,81.0,100.0,36.7,84.2,43.5,45.5,-2.0
Oklahoma City Thunder,82.0,82.0,100.0,36.4,83.4,43.6,45.5,-1.8
Los Angeles Clippers,82.0,82.0,100.0,37.4,84.8,44.1,45.4,-1.3
Houston Rockets,82.0,82.0,100.0,39.0,88.0,44.3,45.5,-1.2
San Antonio Spurs,82.0,82.0,100.0,37.7,85.1,44.4,45.4,-1.0
Charlotte Bobcats,81.0,81.0,100.0,36.9,83.4,44.2,45.2,-1.0
Memphis Grizzlies,82.0,82.0,100.0,35.6,79.2,45.0,45.5,-0.6
Portland Trail Blazers,82.0,82.0,100.0,39.6,87.8,45.1,45.6,-0.5
Toronto Raptors,81.0,81.0,100.0,36.0,80.0,45.0,45.3,-0.3
Cleveland Cavaliers,82.0,82.0,100.0,37.7,83.5,45.2,45.2,0.0
Phoenix Suns,82.0,82.0,100.0,38.0,83.3,45.6,45.5,0.1
Denver Nuggets,82.0,82.0,100.0,39.5,86.4,45.7,45.6,0.1
Orlando Magic,82.0,82.0,100.0,38.1,83.6,45.6,45.2,0.3
Sacramento Kings,81.0,81.0,100.0,37.6,81.8,46.0,45.6,0.5
Brooklyn Nets,81.0,81.0,100.0,36.2,79.2,45.8,45.1,0.6
Washington Wizards,81.0,81.0,100.0,37.0,80.9,45.8,45.2,0.6
New York Knicks,82.0,82.0,100.0,35.8,78.0,45.9,45.2,0.7
Miami Heat,82.0,82.0,100.0,36.1,79.0,45.7,45.0,0.7
Atlanta Hawks,81.0,81.0,100.0,38.4,83.3,46.1,45.2,0.9
New Orleans Pelicans,82.0,82.0,100.0,37.2,80.0,46.5,45.5,1.0
Dallas Mavericks,82.0,82.0,100.0,37.7,81.3,46.4,45.5,1.0
Boston Celtics,82.0,82.0,100.0,37.8,81.4,46.5,45.2,1.2
Los Angeles Lakers,82.0,82.0,100.0,41.9,89.6,46.8,45.6,1.2
Minnesota Timberwolves,82.0,82.0,100.0,40.4,85.7,47.1,45.6,1.6
Milwaukee Bucks,81.0,81.0,100.0,38.5,82.0,46.9,45.2,1.7
Utah Jazz,82.0,82.0,100.0,38.2,80.9,47.3,45.5,1.7
Detroit Pistons,82.0,82.0,100.0,39.1,83.2,47.0,45.2,1.8
Philadelphia 76ers,82.0,82.0,100.0,40.0,85.0,47.1,45.2,1.9
