TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
San Antonio Spurs,82.0,62.0,20.0,48.2,37.8,85.1,44.4,6.5,18.3,35.3,15.7,20.6,76.0,10.5,31.7,42.2,20.4,13.9,7.7,4.6,5.1,19.3,18.2,97.6,-7.7
Oklahoma City Thunder,82.0,59.0,23.0,48.3,36.4,83.4,43.6,8.6,24.0,35.8,18.4,25.4,72.7,11.0,30.0,40.9,21.8,15.2,8.2,3.6,6.1,20.4,22.7,99.8,-6.3
Los Angeles Clippers,82.0,57.0,25.0,48.2,37.4,84.9,44.1,7.3,21.8,33.2,18.9,25.0,75.5,12.3,31.4,43.7,23.3,15.4,7.0,3.5,4.8,23.4,21.5,101.0,-7.0
Indiana Pacers,82.0,56.0,26.0,48.2,34.8,82.7,42.0,6.6,19.0,34.5,16.3,21.6,75.5,10.4,30.7,41.2,18.6,13.7,7.2,4.6,5.4,21.9,20.4,92.3,-4.4
Houston Rockets,82.0,54.0,28.0,48.4,39.0,88.0,44.3,8.1,23.0,35.3,17.0,22.5,75.7,11.9,29.7,41.7,22.2,14.0,8.6,5.6,5.6,24.3,20.4,103.1,-4.6
Miami Heat,82.0,54.0,28.0,48.5,36.1,79.0,45.7,8.5,23.4,36.2,16.8,22.3,75.0,10.8,29.5,40.3,21.4,16.7,8.1,3.1,4.5,20.4,19.5,97.4,-4.8
Portland Trail Blazers,82.0,54.0,28.0,48.4,39.6,87.8,45.1,6.5,18.3,35.5,17.0,22.2,76.6,11.5,32.0,43.5,20.4,12.0,7.8,3.7,4.7,20.7,19.2,102.8,-4.0
Golden State Warriors,82.0,51.0,31.0,48.4,36.8,84.4,43.6,6.9,20.2,34.4,18.9,24.7,76.5,10.7,32.6,43.3,20.5,15.0,7.9,4.2,5.0,19.3,21.8,99.5,-4.8
Memphis Grizzlies,82.0,50.0,32.0,48.3,35.7,79.3,45.0,7.5,21.1,35.5,15.8,20.6,76.6,9.9,29.3,39.2,19.9,14.2,7.2,5.0,4.6,18.9,19.1,94.6,-1.6
Dallas Mavericks,82.0,49.0,33.0,48.4,37.8,81.4,46.4,8.3,23.0,35.9,18.7,24.6,75.8,11.5,31.3,42.8,22.0,16.0,7.7,3.5,4.3,19.9,20.0,102.4,-2.4
Chicago Bulls,82.0,48.0,34.0,48.6,35.0,81.2,43.0,6.6,18.7,35.1,15.3,20.3,75.3,10.7,30.6,41.3,19.6,14.4,7.6,6.0,5.2,20.9,19.1,91.8,-1.9
Phoenix Suns,82.0,48.0,34.0,48.2,38.0,83.4,45.6,6.8,19.9,34.1,19.8,25.8,76.6,11.3,31.5,42.8,20.3,15.3,7.5,4.0,4.6,21.3,21.9,102.6,-2.6
Toronto Raptors,82.0,48.0,34.0,48.7,36.1,80.2,45.0,6.9,19.2,36.0,19.0,25.3,75.2,10.4,30.5,41.0,21.0,14.9,7.3,4.3,4.2,22.1,23.0,98.0,-3.2
Brooklyn Nets,82.0,44.0,38.0,48.5,36.3,79.4,45.8,8.1,22.0,36.7,18.8,24.7,76.0,11.2,31.6,42.9,21.0,15.8,7.4,4.1,3.8,20.8,21.7,99.5,1.0
Washington Wizards,82.0,44.0,38.0,48.9,37.0,80.9,45.8,7.5,21.5,34.7,17.8,23.3,76.5,10.1,32.1,42.2,22.2,16.0,7.7,3.9,4.6,19.5,20.4,99.4,-1.3
Charlotte Bobcats,82.0,43.0,39.0,48.5,36.9,83.4,44.2,8.1,22.0,36.9,15.3,20.1,75.9,9.6,33.7,43.3,21.0,13.3,6.3,5.1,5.1,20.9,18.2,97.1,0.2
Minnesota Timberwolves,82.0,40.0,42.0,48.4,40.5,86.0,47.1,8.1,22.2,36.4,15.2,20.1,75.6,11.1,33.1,44.2,22.9,16.4,7.9,5.6,3.6,23.6,18.3,104.3,-2.7
Atlanta Hawks,82.0,38.0,44.0,48.4,38.6,83.5,46.2,8.0,21.9,36.5,16.4,21.9,74.8,10.8,32.8,43.5,23.2,15.2,8.2,4.3,4.0,20.0,19.2,101.5,0.5
New York Knicks,82.0,37.0,45.0,48.4,35.8,78.1,45.8,8.7,23.4,37.1,19.1,25.0,76.5,10.3,31.7,42.0,19.7,14.5,6.3,3.4,4.5,19.6,22.1,99.4,0.8
Denver Nuggets,82.0,36.0,46.0,48.2,39.5,86.4,45.7,7.4,21.0,35.1,20.2,26.4,76.3,11.3,32.5,43.8,22.5,14.4,8.5,5.6,5.6,21.7,23.0,106.5,2.1
New Orleans Pelicans,82.0,34.0,48.0,48.4,37.3,80.1,46.5,8.0,22.3,35.7,20.0,26.5,75.2,10.7,31.0,41.7,22.5,14.5,7.0,6.1,6.4,20.3,22.6,102.4,2.7
Cleveland Cavaliers,82.0,33.0,49.0,48.6,37.8,83.5,45.2,9.3,25.4,36.7,16.6,22.0,75.7,10.3,32.3,42.5,24.8,14.0,7.2,5.6,3.7,19.5,20.0,101.5,3.3
Detroit Pistons,82.0,29.0,53.0,48.2,39.1,83.2,47.0,8.3,22.8,36.5,18.1,24.0,75.6,11.1,31.9,43.0,24.4,15.0,8.2,4.9,4.8,20.7,20.3,104.7,3.7
Sacramento Kings,82.0,28.0,54.0,48.4,37.8,82.1,46.1,8.5,22.4,38.0,19.2,26.1,73.7,9.9,31.3,41.2,23.5,13.6,7.8,5.6,3.9,23.1,22.5,103.4,2.9
Los Angeles Lakers,82.0,27.0,55.0,48.1,42.0,89.6,46.8,8.1,22.5,36.1,17.2,23.7,72.7,13.0,36.0,49.0,25.8,14.2,9.6,4.7,5.4,19.3,19.8,109.2,6.3
Boston Celtics,82.0,25.0,57.0,48.1,37.8,81.4,46.5,6.6,18.9,34.7,18.5,24.3,76.1,10.6,31.7,42.3,22.1,14.2,7.4,4.5,4.2,19.1,21.3,100.7,4.5
