TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Sacramento Kings,82.0,82.0,100.0,39.5,82.6,47.8,53.1,69.8,30.7,57.6,53.3,30.2,8.8,24.9,35.1
Portland Trail Blazers,82.0,82.0,100.0,38.2,82.3,46.4,50.2,77.2,31.8,63.5,50.0,22.8,6.4,18.8,34.0
Boston Celtics,82.0,82.0,100.0,38.1,81.0,47.0,51.6,73.1,30.7,59.1,51.9,26.9,7.4,21.8,33.9
Chicago Bulls,82.0,82.0,100.0,37.7,80.8,46.6,50.7,75.9,31.1,61.3,50.8,24.1,6.5,19.4,33.7
Minnesota Timberwolves,81.0,81.0,100.0,41.1,80.5,51.1,56.3,71.4,32.7,57.5,56.8,28.6,8.4,23.0,36.7
Golden State Warriors,82.0,82.0,100.0,37.0,80.3,46.0,50.5,73.8,29.7,59.3,50.2,26.2,7.2,21.1,34.2
Phoenix Suns,82.0,82.0,100.0,38.4,80.3,47.8,52.6,72.9,30.7,58.5,52.4,27.1,7.7,21.8,35.4
Houston Rockets,81.0,81.0,100.0,37.7,80.3,47.0,51.6,71.6,30.3,57.5,52.7,28.4,7.4,22.8,32.5
Brooklyn Nets,82.0,82.0,100.0,38.4,80.1,47.9,53.2,70.5,29.9,56.5,52.9,29.5,8.5,23.6,36.0
Dallas Mavericks,82.0,82.0,100.0,38.0,80.0,47.5,53.2,69.2,29.0,55.3,52.4,30.8,9.0,24.6,36.7
Oklahoma City Thunder,82.0,82.0,100.0,37.5,79.8,47.0,52.2,69.9,29.2,55.8,52.4,30.1,8.3,24.0,34.6
Denver Nuggets,82.0,82.0,100.0,38.6,79.8,48.4,53.2,72.3,30.9,57.6,53.6,27.7,7.7,22.1,34.8
Cleveland Cavaliers,81.0,81.0,100.0,38.0,79.4,47.9,52.8,71.8,30.3,57.0,53.2,28.2,7.7,22.4,34.5
Washington Wizards,82.0,82.0,100.0,36.2,78.9,45.8,50.9,71.1,28.1,56.1,50.2,28.9,8.0,22.8,35.2
Los Angeles Lakers,82.0,82.0,100.0,38.8,78.7,49.3,54.7,70.3,30.3,55.3,54.7,29.7,8.5,23.4,36.4
Detroit Pistons,82.0,82.0,100.0,37.9,78.5,48.3,53.2,72.3,30.1,56.7,53.1,27.7,7.7,21.8,35.6
Toronto Raptors,82.0,82.0,100.0,38.0,78.4,48.5,53.4,71.9,30.3,56.4,53.7,28.1,7.7,22.0,35.0
Atlanta Hawks,82.0,82.0,100.0,36.4,78.4,46.5,52.1,67.6,27.6,53.0,52.2,32.4,8.8,25.4,34.6
Charlotte Hornets,82.0,82.0,100.0,36.8,78.3,47.1,52.1,71.8,28.9,56.2,51.4,28.2,7.9,22.0,35.9
San Antonio Spurs,82.0,82.0,100.0,37.1,78.2,47.5,51.8,76.1,30.3,59.5,50.9,23.9,6.8,18.7,36.4
Orlando Magic,82.0,82.0,100.0,37.9,78.0,48.6,53.9,71.2,29.6,55.6,53.3,28.8,8.3,22.5,37.0
Indiana Pacers,82.0,82.0,100.0,35.9,78.0,46.0,50.6,73.4,28.7,57.2,50.1,26.6,7.2,20.8,34.7
Memphis Grizzlies,82.0,82.0,100.0,36.0,77.3,46.6,51.8,70.5,27.9,54.5,51.3,29.5,8.1,22.8,35.5
Los Angeles Clippers,82.0,82.0,100.0,36.4,77.2,47.1,52.5,69.4,28.1,53.6,52.4,30.6,8.3,23.7,35.2
New Orleans Pelicans,82.0,82.0,100.0,37.9,76.9,49.3,53.6,74.8,31.3,57.5,54.5,25.2,6.5,19.3,33.9
Philadelphia 76ers,82.0,82.0,100.0,37.1,76.8,48.3,53.6,70.4,29.1,54.1,53.8,29.6,8.0,22.7,35.3
Milwaukee Bucks,81.0,81.0,100.0,35.6,76.7,46.5,51.9,68.8,27.4,52.8,52.0,31.2,8.2,23.9,34.5
New York Knicks,81.0,81.0,100.0,37.0,75.8,48.9,54.4,70.8,28.6,53.6,53.2,29.2,8.5,22.2,38.2
Miami Heat,81.0,81.0,100.0,36.1,75.1,48.1,53.6,69.5,28.0,52.2,53.7,30.5,8.2,22.9,35.6
Utah Jazz,82.0,82.0,100.0,35.8,74.3,48.1,53.1,72.9,28.4,54.1,52.4,27.1,7.4,20.2,36.5
