TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Brooklyn Nets,40.0,27.0,13.0,3.6,2.9,6.2,46.2,0.8,2.8,27.3,1.9,2.9,66.4,0.8,2.6,3.4,1.4,1.0,0.6,0.2,0.2,2.4,2.1,8.4,-1.1
Philadelphia 76ers,34.0,25.0,9.0,4.0,2.7,6.9,39.1,0.8,2.4,31.3,2.0,2.6,74.4,1.2,2.2,3.4,1.2,1.3,0.9,0.3,0.8,2.8,2.0,8.1,-1.3
Phoenix Suns,37.0,25.0,12.0,4.3,3.0,6.8,43.7,0.9,2.7,33.3,2.6,3.3,81.0,0.8,3.3,4.1,1.5,1.0,0.4,0.2,0.4,2.4,2.4,9.5,-0.8
Portland Trail Blazers,37.0,24.0,13.0,3.7,2.5,6.0,40.8,0.6,2.3,24.7,2.3,2.8,82.4,0.8,2.6,3.3,1.2,1.0,0.2,0.4,0.4,1.9,1.9,7.8,-3.0
Sacramento Kings,42.0,22.0,20.0,3.5,2.9,6.1,46.9,0.6,2.1,28.1,2.7,3.6,74.5,1.0,2.4,3.4,1.5,1.0,0.5,0.3,0.4,1.9,2.4,9.1,0.4
Los Angeles Lakers,35.0,21.0,14.0,4.0,2.6,6.1,42.5,0.7,2.1,34.7,1.7,2.1,83.3,0.5,2.8,3.3,1.4,1.0,0.5,0.3,0.5,2.0,1.6,7.7,-1.6
Indiana Pacers,40.0,20.0,20.0,4.2,3.0,7.2,42.3,0.9,2.5,34.3,2.4,3.0,78.5,0.9,2.9,3.8,1.6,1.3,0.8,0.5,0.5,1.8,2.2,9.3,0.4
New York Knicks,36.0,20.0,16.0,4.5,2.7,7.2,37.6,1.0,3.1,31.0,2.5,3.3,76.9,0.7,3.3,4.1,1.5,1.4,0.5,0.5,0.4,2.5,2.3,8.9,-1.3
Memphis Grizzlies,38.0,19.0,19.0,3.7,3.2,6.6,48.0,1.1,2.8,37.7,1.6,2.1,77.2,0.8,2.8,3.6,1.6,1.2,0.5,0.6,0.4,2.0,1.6,9.0,0.5
Washington Wizards,39.0,19.0,20.0,4.3,3.5,8.1,43.2,0.9,3.0,30.2,3.1,3.5,86.2,0.9,3.0,3.9,1.7,0.9,0.7,0.5,0.5,2.3,2.3,10.9,-0.3
Atlanta Hawks,36.0,18.0,18.0,3.6,3.1,6.3,48.5,0.9,2.3,38.1,2.1,2.4,88.4,0.6,2.3,2.9,1.7,0.9,0.5,0.4,0.3,1.7,1.8,9.1,0.6
Charlotte Hornets,31.0,18.0,13.0,3.4,2.2,5.4,40.4,0.7,2.2,30.4,2.0,2.5,80.8,0.7,2.1,2.8,1.3,0.9,0.4,0.2,0.3,2.1,2.1,7.0,-1.8
Dallas Mavericks,33.0,18.0,15.0,3.1,2.6,5.7,45.5,0.8,2.2,35.1,2.0,2.4,84.6,0.8,2.1,2.9,1.1,0.5,0.4,0.2,0.2,1.8,1.6,7.9,0.5
Denver Nuggets,31.0,18.0,13.0,4.7,3.5,8.0,44.5,0.8,2.9,26.4,2.6,3.1,83.5,1.2,2.8,4.0,1.5,1.3,0.8,0.5,0.5,2.6,2.2,10.5,-0.9
Miami Heat,34.0,18.0,16.0,3.6,2.6,6.5,40.0,0.8,3.0,26.5,1.5,1.9,78.1,1.1,2.5,3.6,1.4,0.9,0.6,0.4,0.4,2.0,1.6,7.4,0.3
Minnesota Timberwolves,39.0,18.0,21.0,3.6,3.3,6.6,49.6,1.0,2.7,36.5,2.3,2.8,80.2,0.8,2.6,3.4,1.6,0.9,0.5,0.3,0.3,1.8,2.2,9.8,1.6
Boston Celtics,43.0,17.0,26.0,3.5,2.7,6.4,43.1,1.0,3.1,33.6,2.6,3.2,81.3,0.7,2.6,3.3,1.4,1.0,0.5,0.3,0.4,2.2,2.3,9.2,1.3
New Orleans Pelicans,39.0,17.0,22.0,4.1,3.2,7.4,42.4,0.8,3.0,28.4,2.0,2.5,79.4,0.8,2.8,3.6,1.7,1.1,0.6,0.8,0.4,2.6,2.1,9.1,-0.7
Utah Jazz,30.0,17.0,13.0,3.0,2.2,5.0,43.0,0.7,2.0,33.3,1.7,2.2,78.8,0.8,2.0,2.8,1.0,0.8,0.3,0.2,0.2,1.8,1.6,6.7,-1.2
