TEAM,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
Atlanta Hawks,82.0,43.0,39.0,240.3,113.9,24.7,47.1,28.2,39.8,26.5,40.2,21.7,65.2,3.4,47.1,5.0,55.4,54.3
Boston Celtics,81.0,51.0,30.0,242.8,111.8,25.7,49.1,31.5,37.2,18.8,37.1,19.6,68.3,3.4,49.5,4.6,54.6,54.1
Brooklyn Nets,82.0,44.0,38.0,240.9,112.9,22.6,49.7,28.0,40.2,27.0,41.7,19.9,62.5,3.7,53.8,7.1,56.0,54.0
Charlotte Hornets,81.0,43.0,38.0,242.5,115.4,28.6,47.3,32.3,37.7,19.8,37.3,18.7,67.4,1.6,39.3,6.0,63.8,54.4
Chicago Bulls,82.0,46.0,36.0,240.6,111.6,25.2,51.3,29.0,38.6,24.5,42.8,15.7,65.4,4.0,51.0,7.3,57.2,54.1
Cleveland Cavaliers,82.0,44.0,38.0,240.6,107.8,21.0,47.1,29.2,36.4,16.8,37.4,25.2,65.9,4.6,48.3,6.6,54.2,53.8
Dallas Mavericks,82.0,52.0,30.0,240.9,108.0,27.1,53.0,30.4,36.2,22.8,38.2,18.0,66.3,3.9,46.8,4.0,55.4,53.8
Denver Nuggets,82.0,48.0,34.0,241.5,112.7,17.5,50.6,32.5,37.5,16.6,37.9,24.8,67.4,7.9,58.7,9.3,65.8,55.6
Detroit Pistons,81.0,23.0,58.0,241.2,105.0,26.0,46.7,30.4,35.0,15.0,32.8,19.2,59.5,3.4,46.2,4.5,52.3,49.6
Golden State Warriors,81.0,53.0,28.0,240.6,111.2,21.2,50.7,32.6,36.7,20.8,37.9,17.6,66.9,2.3,48.0,5.3,62.8,55.3
Houston Rockets,82.0,20.0,62.0,240.9,109.7,25.2,48.3,28.5,35.5,16.3,33.5,19.2,67.0,3.6,54.1,5.9,55.8,53.4
Indiana Pacers,82.0,25.0,57.0,242.4,111.5,26.8,48.4,28.9,36.2,20.5,36.8,22.4,66.3,2.7,53.3,7.3,63.0,53.1
LA Clippers,81.0,42.0,39.0,241.2,108.7,21.4,47.4,31.5,40.5,24.4,37.3,18.4,65.3,3.9,49.8,6.6,54.5,53.3
Los Angeles Lakers,82.0,33.0,49.0,243.7,112.1,22.2,50.3,29.0,36.6,20.3,36.3,21.8,66.1,5.7,52.2,6.0,56.0,53.7
Memphis Grizzlies,81.0,55.0,26.0,241.2,115.6,30.3,46.4,27.5,36.6,20.1,37.3,21.0,61.6,2.7,52.2,7.5,58.1,52.2
Miami Heat,82.0,53.0,29.0,242.1,110.0,20.5,49.4,31.8,38.7,21.8,39.2,20.5,63.0,3.5,44.9,6.3,54.8,54.7
Milwaukee Bucks,82.0,51.0,31.0,240.9,115.5,23.2,51.6,32.1,37.6,24.0,39.3,18.9,63.0,5.1,49.3,5.2,53.7,54.6
Minnesota Timberwolves,82.0,46.0,36.0,241.2,115.9,25.8,50.4,33.1,37.0,18.6,35.4,16.0,59.9,3.1,50.3,7.2,60.6,53.9
New Orleans Pelicans,81.0,35.0,46.0,240.9,109.4,22.0,47.2,29.9,37.0,17.0,35.7,21.4,62.1,4.8,51.2,6.4,57.7,51.8
New York Knicks,81.0,36.0,45.0,241.2,106.5,24.7,44.3,26.9,36.6,23.8,34.9,17.4,66.3,2.7,44.7,3.7,52.7,51.3
Oklahoma City Thunder,82.0,24.0,58.0,241.5,103.7,29.9,45.2,28.5,33.2,16.8,35.6,16.6,62.2,0.5,39.6,4.8,56.1,49.7
Orlando Magic,82.0,22.0,60.0,241.2,104.2,25.5,45.2,31.6,35.4,14.5,32.1,16.5,64.2,2.4,45.6,5.6,59.0,50.3
Philadelphia 76ers,82.0,51.0,31.0,241.5,109.9,26.6,49.4,28.5,38.1,22.1,39.0,15.5,64.0,7.2,47.7,4.6,54.8,53.4
Phoenix Suns,81.0,63.0,18.0,240.6,114.9,23.4,48.5,29.9,39.0,26.2,42.3,24.4,67.6,3.2,55.6,8.6,61.1,55.0
Portland Trail Blazers,82.0,27.0,55.0,240.6,106.2,22.3,46.2,28.5,35.8,20.9,36.9,16.3,63.6,2.9,46.0,6.4,58.4,51.5
Sacramento Kings,81.0,29.0,52.0,241.5,109.9,27.9,47.7,25.8,36.7,21.2,36.4,19.9,64.4,2.3,45.0,6.7,53.4,52.3
San Antonio Spurs,82.0,34.0,48.0,241.5,113.2,28.5,47.6,31.5,37.8,19.2,38.8,19.9,63.8,2.2,52.5,8.3,58.3,52.7
Toronto Raptors,82.0,48.0,34.0,242.1,109.4,21.6,44.9,28.7,37.1,22.3,36.2,20.6,59.9,3.2,48.9,5.7,54.8,51.0
Utah Jazz,82.0,49.0,33.0,240.6,113.6,29.7,51.3,27.3,36.4,24.2,38.0,21.9,71.6,2.3,45.8,4.6,62.6,55.5
Washington Wizards,82.0,35.0,47.0,241.8,108.6,26.2,47.8,27.0,35.8,19.3,38.2,22.6,69.2,3.6,50.2,6.5,56.3,53.2
