Yr,W wins,L wins,Winning_Team,Losing_Team,Winning_Seed,Losing_Seed
2022,4,1,Milwaukee Bucks,Chicago Bulls,3,6
2022,4,2,Memphis Grizzlies,Minnesota Timberwolves,2,7
2022,4,0,Boston Celtics,Brooklyn Nets,2,7
2022,4,1,Golden State Warriors,Denver Nuggets,3,6
2022,4,2,Dallas Mavericks,Utah Jazz,4,5
2022,4,2,Philadelphia 76ers,Toronto Raptors,4,5
2022,4,2,Phoenix Suns,New Orleans Pelicans,1,8
2022,4,1,Miami Heat,Atlanta Hawks,1,8
2022,4,3,Boston Celtics,Milwaukee Bucks,2,3
2022,4,2,Miami Heat,Philadelphia 76ers,1,4
2022,4,3,Dallas Mavericks,Phoenix Suns,4,1
2022,4,2,Golden State Warriors,Memphis Grizzlies,3,2
2022,4,1,Golden State Warriors,Dallas Mavericks,3,4
2022,4,3,Boston Celtics,Miami Heat,2,1
2022,4,2,Golden State Warriors,Boston Celtics,3,2
2021,4,0,Milwaukee Bucks,Miami Heat,3,6
2021,4,3,Los Angeles Clippers,Dallas Mavericks,4,5
2021,4,1,Brooklyn Nets,Boston Celtics,2,7
2021,4,2,Denver Nuggets,Portland Trail Blazers,3,6
2021,4,1,Philadelphia 76ers,Washington Wizards,1,8
2021,4,1,Utah Jazz,Memphis Grizzlies,1,8
2021,4,1,Atlanta Hawks,New York Knicks,5,4
2021,4,2,Phoenix Suns,Los Angeles Lakers,2,7
2021,4,3,Milwaukee Bucks,Brooklyn Nets,3,2
2021,4,3,Atlanta Hawks,Philadelphia 76ers,5,1
2021,4,0,Phoenix Suns,Denver Nuggets,2,3
2021,4,2,Los Angeles Clippers,Utah Jazz,4,1
2021,4,2,Phoenix Suns,Los Angeles Clippers,2,4
2021,4,2,Milwaukee Bucks,Atlanta Hawks,3,5
2021,4,2,Milwaukee Bucks,Phoenix Suns,3,2
2020,4,1,Milwaukee Bucks,Orlando Magic,1,8
2020,4,0,Toronto Raptors,Brooklyn Nets,2,7
2020,4,0,Boston Celtics,Philadelphia 76ers,3,6
2020,4,0,Miami Heat,Indiana Pacers,5,4
2020,4,1,Los Angeles Lakers,Portland Trail Blazers,1,8
2020,4,2,Los Angeles Clippers,Dallas Mavericks,2,7
2020,4,3,Denver Nuggets,Utah Jazz,3,6
2020,4,3,Houston Rockets,Oklahoma City Thunder,4,5
2020,4,3,Boston Celtics,Toronto Raptors,3,2
2020,4,1,Miami Heat,Milwaukee Bucks,5,1
2020,4,3,Denver Nuggets,Los Angeles Clippers,3,2
2020,4,1,Los Angeles Lakers,Houston Rockets,1,4
2020,4,2,Miami Heat,Boston Celtics,5,3
2020,4,1,Los Angeles Lakers,Denver Nuggets,1,3
2020,4,2,Los Angeles Lakers,Miami Heat,1,5
2019,4,0,Milwaukee Bucks,Detroit Pistons,1,8
2019,4,1,Toronto Raptors,Orlando Magic,2,7
2019,4,1,Philadelphia 76ers,Brooklyn Nets,3,6
2019,4,0,Boston Celtics,Indiana Pacers,4,5
2019,4,2,Golden State Warriors,Los Angeles Clippers,1,8
2019,4,3,Denver Nuggets,San Antonio Spurs,2,7
2019,4,1,Portland Trail Blazers,Oklahoma City Thunder,3,6
2019,4,1,Houston Rockets,Utah Jazz,4,5
2019,4,1,Milwaukee Bucks,Boston Celtics,1,4
2019,4,3,Toronto Raptors,Philadelphia 76ers,2,3
2019,4,2,Golden State Warriors,Houston Rockets,1,4
2019,4,3,Portland Trail Blazers,Denver Nuggets,3,2
2019,4,2,Toronto Raptors,Milwaukee Bucks,2,1
