,t1_general_traditional_WIN%,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_eFG%,t1_general_advanced_PIE,t1_clutch-traditional_Win Percentage,t1_clutch-traditional_Points,t1_clutch-opponent_Opponent's Field Goal Percentage,t1_clutch-opponent_Opponent's Offensive Rebounds,t1_seed,t1_series_wins,t2_general_traditional_WIN%,t2_general_traditional_3PM,t2_general_traditional_STL,t2_general_traditional_+/-,t2_general_advanced_PIE,t2_general_advanced_POSS,t2_clutch-traditional_Win Percentage,t2_clutch-traditional_Free Throw Percentage,t2_clutch-traditional_Defensive Rebounds,t2_clutch-advanced_Net Rating,t2_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-opponent_Opponent's Turnovers,t2_seed,t2_series_wins,outcome
0,56.10000000000001,2.1,2.1,45.7,52.7,48.9,7.6,41.8,0.8,6,3,61.0,5.8,7.7,2.3,52.3,7331.0,62.3,74.5,2.6,6.0,30.0,1.2,3,0,1
1,63.4,3.9,4.2,49.9,51.9,61.2,7.6,40.2,1.0,2,3,52.400000000000006,6.0,8.2,1.0,49.5,7828.0,49.0,73.4,2.5,-8.7,30.8,1.2,7,1,1
2,50.0,-0.2,-0.2,47.1,51.0,54.3,9.0,37.2,1.1,8,1,68.30000000000001,3.2,8.4,4.3,53.6,7619.0,65.0,74.7,2.8,8.2,33.7,1.1,1,3,0
3,58.5,2.6,3.0,47.6,52.0,57.5,7.7,31.1,1.2,4,2,57.3,5.2,7.3,2.3,52.2,7671.0,52.3,78.9,3.0,4.9,34.2,1.0,5,3,0
4,64.60000000000001,4.3,4.4,49.8,52.3,54.3,8.3,40.3,1.3,5,3,64.60000000000001,4.0,8.1,4.7,54.8,7503.0,62.2,79.8,2.3,21.2,42.3,0.7,4,2,1
5,68.30000000000001,3.4,3.5,49.8,53.2,66.0,9.2,40.3,0.8,2,3,61.0,4.5,8.2,4.2,54.4,7475.0,52.3,76.4,2.1,7.7,32.8,0.8,7,0,1
6,62.2,2.2,2.3,46.0,52.1,63.0,8.6,35.7,1.1,6,1,67.10000000000001,5.8,9.7,5.8,54.0,8010.0,58.7,77.8,3.7,7.1,30.4,1.7,3,3,0
7,57.3,1.4,1.6,48.2,51.8,53.5,8.6,41.8,1.1,8,1,70.7,5.4,6.9,7.8,57.3,7514.0,40.0,66.0,2.9,-3.4,28.9,1.0,1,3,0
8,56.10000000000001,2.1,2.1,45.7,52.7,48.9,7.6,41.8,0.8,6,3,63.4,6.9,8.2,3.9,51.9,7733.0,61.2,75.8,2.2,4.6,37.4,0.7,2,4,0
9,68.30000000000001,4.3,4.6,46.8,53.6,65.0,9.6,39.4,1.2,1,4,57.3,5.2,7.3,2.3,52.2,7671.0,52.3,78.9,3.0,4.9,34.2,1.0,5,3,1
10,68.30000000000001,3.4,3.5,49.8,53.2,66.0,9.2,40.3,0.8,2,4,67.10000000000001,5.8,9.7,5.8,54.0,8010.0,58.7,77.8,3.7,7.1,30.4,1.7,3,0,1
11,64.60000000000001,4.3,4.4,49.8,52.3,54.3,8.3,40.3,1.3,5,1,70.7,5.4,6.9,7.8,57.3,7514.0,40.0,66.0,2.9,-3.4,28.9,1.0,1,4,0
12,63.4,3.9,4.2,49.9,51.9,61.2,7.6,40.2,1.0,2,3,68.30000000000001,3.2,8.4,4.3,53.6,7619.0,65.0,74.7,2.8,8.2,33.7,1.1,1,4,0
13,68.30000000000001,3.4,3.5,49.8,53.2,66.0,9.2,40.3,0.8,2,4,70.7,5.4,6.9,7.8,57.3,7514.0,40.0,66.0,2.9,-3.4,28.9,1.0,1,0,1
14,68.30000000000001,3.4,3.5,49.8,53.2,66.0,9.2,40.3,0.8,2,4,68.30000000000001,3.2,8.4,4.3,53.6,7619.0,65.0,74.7,2.8,8.2,33.7,1.1,1,1,1
15,59.8,2.2,2.2,47.6,50.0,58.8,9.7,34.5,1.2,3,3,52.400000000000006,2.6,8.6,1.6,52.0,7424.0,52.2,82.6,2.3,4.2,33.5,1.0,6,2,1
16,53.7,1.0,1.2,46.6,51.3,55.1,7.8,39.2,0.8,4,3,53.7,7.6,8.1,1.6,49.7,7805.0,52.8,79.4,2.5,3.9,26.3,1.0,5,1,1
17,61.0,2.1,2.3,49.7,52.3,60.0,7.6,37.2,0.9,2,3,51.2,4.7,8.4,-0.4,49.6,7414.0,56.3,72.0,2.7,3.1,35.4,1.3,7,2,1
18,51.2,0.3,0.4,47.7,51.0,42.9,8.0,42.0,1.1,8,2,63.4,4.9,8.7,4.2,53.7,7707.0,56.1,73.2,2.9,-0.3,37.1,1.2,1,3,0
19,69.5,4.3,4.3,50.7,51.7,64.1,10.4,41.8,1.3,4,3,61.0,4.8,6.4,3.4,52.9,7578.0,53.7,81.1,2.4,-7.5,35.5,0.9,5,0,1
20,70.7,7.1,7.6,49.8,54.9,59.0,8.6,36.6,1.4,3,3,59.8,5.7,8.6,3.0,51.8,7482.0,60.0,73.4,2.0,10.4,39.1,1.1,6,0,1
21,74.4,7.6,8.1,49.7,55.2,74.2,8.7,37.4,1.1,1,3,53.7,3.4,9.1,0.9,53.0,7582.0,46.5,78.3,2.7,-6.5,40.4,1.0,8,1,1
22,70.7,6.2,6.9,49.2,55.4,56.8,7.8,40.8,0.9,2,3,54.900000000000006,6.0,8.5,3.0,52.2,7468.0,45.5,70.8,2.5,-3.0,35.3,0.9,7,2,1
23,59.8,2.2,2.2,47.6,50.0,58.8,9.7,34.5,1.2,3,4,61.0,6.9,7.9,2.1,52.3,7495.0,60.0,77.4,2.1,3.5,30.9,1.1,2,1,1
24,53.7,1.0,1.2,46.6,51.3,55.1,7.8,39.2,0.8,4,1,63.4,4.9,8.7,4.2,53.7,7707.0,56.1,73.2,2.9,-0.3,37.1,1.2,1,4,0
25,70.7,7.1,7.6,49.8,54.9,59.0,8.6,36.6,1.4,3,4,70.7,5.3,7.6,6.2,55.4,7528.0,56.8,74.2,2.7,-5.0,24.7,0.8,2,1,1
26,69.5,4.3,4.3,50.7,51.7,64.1,10.4,41.8,1.3,4,1,74.4,5.2,9.0,7.6,55.2,7951.0,74.2,72.1,2.7,14.7,28.2,1.1,1,4,0
27,59.8,2.2,2.2,47.6,50.0,58.8,9.7,34.5,1.2,3,2,63.4,4.9,8.7,4.2,53.7,7707.0,56.1,73.2,2.9,-0.3,37.1,1.2,1,4,0
28,70.7,7.1,7.6,49.8,54.9,59.0,8.6,36.6,1.4,3,4,74.4,5.2,9.0,7.6,55.2,7951.0,74.2,72.1,2.7,14.7,28.2,1.1,1,3,1
29,70.7,7.1,7.6,49.8,54.9,59.0,8.6,36.6,1.4,3,4,63.4,4.9,8.7,4.2,53.7,7707.0,56.1,73.2,2.9,-0.3,37.1,1.2,1,0,1
30,53.7,-0.4,-0.6,47.0,48.0,55.1,7.3,35.9,1.1,6,4,58.5,4.6,8.5,3.5,53.8,7696.0,47.6,78.6,3.1,-7.8,29.2,1.2,3,2,1
31,61.0,3.7,4.2,47.3,52.5,56.5,8.7,39.7,1.2,1,4,51.2,6.9,8.5,0.1,48.2,7788.0,46.7,71.2,2.8,-0.8,30.5,0.8,8,3,1
32,51.2,0.2,0.3,50.0,49.5,50.0,9.5,40.1,1.4,7,2,59.8,4.2,8.7,5.2,54.4,7661.0,43.2,73.6,2.5,-16.3,33.1,1.2,2,4,0
33,57.3,2.1,2.4,46.5,51.7,54.3,9.0,36.4,1.2,5,2,58.5,3.0,10.3,2.3,51.6,7694.0,57.1,75.0,2.4,0.9,34.3,1.3,4,4,0
34,73.2,7.8,8.3,49.8,54.6,60.5,9.7,41.8,1.1,3,4,61.0,4.6,8.8,2.6,51.5,7486.0,57.5,74.1,2.7,2.4,35.0,1.2,6,3,1
35,61.0,2.3,2.2,48.6,52.0,57.8,9.0,41.4,0.8,5,4,62.2,3.6,6.7,2.1,52.9,7681.0,65.9,73.2,2.2,12.3,29.8,0.8,4,2,1
36,72.0,6.5,6.6,49.9,55.1,65.0,9.2,39.2,1.4,2,4,57.3,2.7,8.6,2.4,55.1,7483.0,54.1,72.2,2.5,4.6,36.5,1.3,7,1,1
37,53.7,1.1,1.3,47.3,49.8,57.7,8.0,35.3,0.9,8,2,73.2,5.5,7.7,5.4,54.9,7558.0,64.4,70.1,2.4,2.5,31.9,0.7,1,4,0
38,61.0,3.7,4.2,47.3,52.5,56.5,8.7,39.7,1.2,1,4,58.5,3.0,10.3,2.3,51.6,7694.0,57.1,75.0,2.4,0.9,34.3,1.3,4,2,1
39,53.7,-0.4,-0.6,47.0,48.0,55.1,7.3,35.9,1.1,6,0,59.8,4.2,8.7,5.2,54.4,7661.0,43.2,73.6,2.5,-16.3,33.1,1.2,2,4,0
40,73.2,7.8,8.3,49.8,54.6,60.5,9.7,41.8,1.1,3,4,72.0,6.0,9.0,6.5,55.1,7987.0,65.0,73.5,2.5,3.4,34.1,1.2,2,3,1
41,61.0,2.3,2.2,48.6,52.0,57.8,9.0,41.4,0.8,5,2,73.2,5.5,7.7,5.4,54.9,7558.0,64.4,70.1,2.4,2.5,31.9,0.7,1,4,0
42,61.0,3.7,4.2,47.3,52.5,56.5,8.7,39.7,1.2,1,0,59.8,4.2,8.7,5.2,54.4,7661.0,43.2,73.6,2.5,-16.3,33.1,1.2,2,4,0
43,73.2,7.8,8.3,49.8,54.6,60.5,9.7,41.8,1.1,3,2,73.2,5.5,7.7,5.4,54.9,7558.0,64.4,70.1,2.4,2.5,31.9,0.7,1,4,0
44,59.8,5.2,5.4,46.8,54.4,43.2,6.8,40.4,1.3,2,2,73.2,5.5,7.7,5.4,54.9,7558.0,64.4,70.1,2.4,2.5,31.9,0.7,1,4,0
45,65.9,5.8,6.5,46.1,55.8,55.6,8.8,39.6,1.0,3,4,50.0,4.9,6.8,1.1,51.0,7682.0,45.3,81.0,2.7,-3.5,28.8,0.9,6,1,1
