,t1_general_traditional_WIN%,t1_general_traditional_3PM,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_AST,t1_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Turnovers,t1_clutch-traditional_Win Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_seed,t2_general_traditional_WIN%,t2_general_traditional_FTM,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_OffRtg,t2_general_advanced_NetRtg,t2_general_advanced_POSS,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's Rebounds,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_Free Throw Percentage,t2_clutch-opponent_Opponent's Field Goals Made,t2_seed
0,54.900000000000006,5.9,1.6,1.7,17.1,51.4,35.3,73.9,16.4,52.2,64.7,6.0,70.7,18.1,21.2,8.4,108.6,9.2,7440.0,4.5,39.1,0.6,66.2,2.7,3.0
1,73.2,5.1,6.1,6.7,14.6,55.1,36.1,75.2,14.0,72.7,67.9,4.0,65.9,14.5,19.8,5.5,110.2,5.4,8067.0,6.3,45.9,0.7,82.1,3.0,2.0
2,73.2,10.0,5.4,5.9,19.5,54.0,34.1,76.4,16.1,70.7,67.2,1.0,56.10000000000001,15.9,19.6,0.7,103.0,0.6,7844.0,8.0,41.7,0.5,70.6,3.5,5.0
3,64.60000000000001,5.5,4.2,4.8,17.3,53.3,33.9,74.0,14.7,57.7,68.8,1.0,48.8,20.5,23.4,0.8,104.1,0.8,7465.0,5.6,37.6,0.2,69.1,2.2,8.0
4,52.400000000000006,12.9,1.6,1.6,18.1,50.9,36.4,79.2,12.8,47.4,70.5,8.0,64.60000000000001,17.3,20.6,4.5,113.0,4.5,7987.0,13.0,41.7,0.9,78.0,2.0,1.0
5,69.69999999999999,5.6,6.0,6.4,15.9,55.3,36.3,72.5,16.8,62.1,69.1,2.0,54.50000000000001,18.3,21.8,3.2,103.5,3.2,6242.0,6.7,41.8,0.6,74.1,2.5,7.0
6,61.0,8.9,2.9,3.2,17.0,52.1,36.4,75.3,16.3,65.0,66.5,7.0,68.30000000000001,18.6,21.1,3.4,106.0,3.4,8037.0,7.4,43.8,0.8,76.9,2.5,2.0
7,61.0,7.9,3.0,3.0,16.6,52.9,33.5,74.9,12.2,66.0,67.0,3.0,64.60000000000001,17.7,20.5,4.5,110.1,4.8,7682.0,7.7,41.1,0.8,81.4,2.2,2.0
8,65.9,4.4,3.9,4.3,17.2,54.2,33.8,75.1,13.8,62.5,68.2,2.0,72.0,20.2,0.0,6.5,108.9,6.7,7647.0,5.4,40.5,0.8,65.8,2.7,1.0
9,72.0,8.1,6.3,6.4,16.6,54.3,35.8,72.7,15.2,58.1,71.1,2.0,75.6,15.7,19.3,7.7,109.5,8.1,7887.0,6.5,42.2,0.9,77.6,2.7,1.0
10,63.4,6.2,4.4,4.5,17.7,52.7,36.3,74.6,15.2,55.0,68.6,5.0,67.10000000000001,19.8,0.0,5.0,108.6,5.4,7765.0,5.0,43.9,0.6,81.4,2.6,4.0
11,68.30000000000001,4.7,4.1,4.5,16.5,53.1,33.8,74.8,15.5,60.0,71.2,5.0,70.7,16.6,19.1,6.4,107.0,6.7,7892.0,6.3,42.5,0.7,75.8,2.6,2.0
12,43.9,6.7,-1.5,-1.5,16.1,49.0,36.2,73.6,17.1,47.9,62.0,8.0,74.4,18.8,0.1,5.8,102.5,6.3,7311.0,4.0,40.1,0.8,76.1,2.2,1.0
13,70.7,7.3,8.4,9.2,17.8,56.9,33.4,74.0,14.3,50.0,72.6,3.0,62.2,22.3,24.5,2.9,108.6,3.0,7661.0,6.2,37.0,0.7,81.4,2.7,4.0
14,61.0,5.9,2.3,2.2,17.4,52.0,38.0,76.0,14.5,57.8,70.6,5.0,62.2,17.1,0.0,2.1,104.8,2.2,7681.0,5.8,41.7,0.4,73.2,1.9,4.0
15,73.2,10.0,5.4,5.9,19.5,54.0,34.1,76.4,16.1,70.7,67.2,1.0,46.3,16.6,20.0,-2.9,103.4,-3.0,7777.0,8.5,44.3,0.5,78.9,2.7,8.0
16,52.400000000000006,6.3,-0.2,-0.4,16.9,50.8,36.9,75.9,13.3,54.2,76.7,7.0,65.9,17.5,20.4,4.8,110.0,5.1,7615.0,8.5,40.3,0.8,77.2,2.8,2.0
