,t1_general_traditional_WIN%,t2_general_traditional_WIN%,t1_general_traditional_PTS,t2_general_traditional_PTS,t1_general_traditional_BLK,t2_general_traditional_BLK,t1_general_traditional_+/-,t2_general_traditional_+/-,t1_general_advanced_NetRtg,t2_general_advanced_NetRtg,t1_general_advanced_PIE,t2_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Steals,t1_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls,t1_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Pace,t2_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t2_clutch-advanced_Player Impact Estimate,t1_seed,t2_seed,t1_general_traditional_FT%,t2_general_traditional_FT%,t1_general_advanced_DefRtg,t2_general_advanced_DefRtg,t1_general_advanced_POSS,t2_general_advanced_POSS,t1_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_2ND_CHANCE,t1_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_Assists,t2_clutch-traditional_Assists
0,67.10000000000001,68.30000000000001,110.1,95.4,6.3,4.1,5.0,4.8,5.0,5.3,55.6,53.3,35.3,34.2,7.3,6.9,1.8,2.2,35.0,22.8,98.5,94.82,63.8,61.4,6.0,3.0,78.3,76.1,107.0,100.7,8058.0,7377.0,15.4,10.5,46.0,50.0,1.5,1.8
1,64.60000000000001,56.10000000000001,101.7,97.7,5.0,4.7,4.7,1.7,4.9,2.1,52.3,49.5,34.5,34.3,6.2,7.0,2.2,2.7,40.8,30.2,88.81,98.25,52.4,53.1,3.0,6.0,75.9,75.5,106.0,101.9,7515.0,7698.0,14.0,11.1,40.4,40.1,1.2,1.5
2,58.3,65.3,112.4,114.0,4.3,4.1,2.3,6.2,2.3,6.1,51.0,53.0,36.5,35.6,7.3,7.1,1.6,2.1,27.5,32.6,102.49,107.69,47.9,45.6,5.0,4.0,77.8,83.9,112.3,110.6,7062.0,7036.0,13.1,11.8,45.1,42.5,1.2,0.9
3,80.5,46.3,102.9,98.9,5.4,6.7,7.9,-1.5,8.2,-1.7,56.4,48.8,35.0,34.8,7.9,8.0,1.6,1.7,37.0,36.3,94.43,100.05,75.6,53.5,1.0,8.0,75.4,73.6,103.2,104.2,7572.0,7909.0,14.7,14.6,48.8,41.9,2.2,1.5
4,80.5,72.0,100.5,97.5,4.6,5.8,10.3,7.4,10.8,8.3,58.1,55.2,31.6,33.2,7.2,5.8,2.0,2.0,32.5,37.7,96.28,93.4,51.1,56.2,1.0,2.0,77.1,76.7,98.1,101.5,7575.0,7279.0,12.5,11.4,39.1,41.3,1.2,1.3
5,75.6,72.0,110.4,96.2,5.5,6.6,7.1,7.8,7.0,8.3,54.6,56.5,33.5,36.7,7.6,7.2,1.4,2.9,28.7,38.9,101.43,97.24,59.0,49.2,1.0,2.0,74.8,72.4,105.7,97.8,8034.0,7435.0,17.4,12.3,46.2,42.1,1.5,1.4
6,61.0,72.0,110.9,111.7,3.8,6.1,0.9,7.8,1.0,7.7,50.2,53.8,36.8,35.7,7.5,7.2,1.8,1.8,33.3,29.5,101.1,106.7,60.1,52.2,4.0,1.0,77.9,79.4,111.1,105.3,8114.0,8104.0,12.7,13.2,45.3,42.6,1.2,1.1
7,72.0,51.2,101.5,91.4,5.8,3.8,6.5,-1.5,6.7,-1.7,55.6,49.0,34.8,36.8,7.5,7.3,2.7,2.9,34.9,33.0,97.27,98.03,59.7,60.9,1.0,8.0,67.2,76.3,102.2,101.6,7647.0,7501.0,12.9,12.6,47.1,39.8,1.9,1.7
8,65.9,72.0,93.3,101.5,6.1,5.8,3.9,6.5,4.3,6.7,54.2,55.6,33.8,34.8,7.4,7.5,2.7,2.7,35.5,34.9,93.06,97.27,57.2,59.7,2.0,1.0,73.9,67.2,99.6,102.2,7364.0,7647.0,12.1,12.9,37.9,47.1,1.5,1.9
9,67.10000000000001,61.0,102.0,101.4,5.5,4.6,2.7,5.1,2.8,5.4,53.4,53.2,34.7,34.3,6.9,6.9,1.9,2.4,27.3,36.8,93.8,97.9,64.7,40.7,2.0,7.0,81.6,74.0,105.0,103.9,7757.0,7605.0,12.9,12.6,47.2,36.9,1.7,1.0
