,outcome
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
